species,year,genus_species,source,Order,Family,Genus,Mode of introduction,Establishment indoors/outdoors,Eradicated after the initial establishment
Blaberus parabolicus Walker,1989,Blaberus parabolicus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Nauphoeta cinerea (Olivier),1893,Nauphoeta cinerea,"Causton, 2006",NA,NA,NA,NA,NA,NA
Phoetalia pallida (Brunner),1920,Phoetalia pallida,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pycnoscelus surinamensis (L.),1877,Pycnoscelus surinamensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Rhyparobia maderae (F.),1989,Rhyparobia maderae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Anaplecta lateralis (Burmeister),1991,Anaplecta lateralis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Blattella germanica (L.),1920,Blattella germanica,"Causton, 2006",NA,NA,NA,NA,NA,NA
Symploce pallens (Stephens),1916,Symploce pallens,"Causton, 2006",NA,NA,NA,NA,NA,NA
Periplaneta americana (L.),1877,Periplaneta americana,"Causton, 2006",NA,NA,NA,NA,NA,NA
Periplaneta australasiae (F.),1889,Periplaneta australasiae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Periplaneta brunnea Burmeister,1920,Periplaneta brunnea,"Causton, 2006",NA,NA,NA,NA,NA,NA
Stegobium paniceum (L.),1985,Stegobium paniceum,"Causton, 2006",NA,NA,NA,NA,NA,NA
Omonadus floralis (L.),1989,Omonadus floralis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Araecerus fasciculatus (De Geer),1985,Araecerus fasciculatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dinoderus minutus (F.),1985,Dinoderus minutus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Lyctus brunneus Stephens,1964,Lyctus brunneus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Lyctus sp1,1989,Lyctus sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Minthea rugicollis (Walker),1985,Minthea rugicollis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Sinoxylon conigerum,1996,Sinoxylon conigerum,"Causton, 2006",NA,NA,NA,NA,NA,NA
Trogoxylon sp1,1985,Trogoxylon sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Trogoxylon sp2,1996,Trogoxylon sp2,"Causton, 2006",NA,NA,NA,NA,NA,NA
Brentus sp1,2000,Brentus sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Acanthoscelides obtectus (Say),1964,Acanthoscelides obtectus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Zabrotes subfaciatus (Boheman),1985,Zabrotes subfaciatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Acupalpus sp1,1991,Acupalpus sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Acupalpus sp2,1998,Acupalpus sp2,"Causton, 2006",NA,NA,NA,NA,NA,NA
Bradycellus sp1,1996,Bradycellus sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Calleida migratoria,1998,Calleida migratoria,"Causton, 2006",NA,NA,NA,NA,NA,NA
Cicindela trifasciata,1983,Cicindela trifasciata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Thalpius sp1,1992,Thalpius sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pentagonica flavipes (Le Conte),1982,Pentagonica flavipes,"Causton, 2006",NA,NA,NA,NA,NA,NA
Thalpius sp2,2000,Thalpius sp2,"Causton, 2006",NA,NA,NA,NA,NA,NA
Carphina arcifera Bates,1989,Carphina arcifera,"Causton, 2006",NA,NA,NA,NA,NA,NA
Nesoeme kuscheli Linsley & Chemsak,1964,Nesoeme kuscheli,"Causton, 2006",NA,NA,NA,NA,NA,NA
Euxestus erithaeus Chevrolat,1985,Euxestus erithaeus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Murmidius ovalis (Beck),1964,Murmidius ovalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Chaetocnema confinis Crotch,1985,Chaetocnema confinis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Necrobia rufipes De Geer,1835,Necrobia rufipes,"Causton, 2006",NA,NA,NA,NA,NA,NA
Tarsostenus univittatus (Rossi),1985,Tarsostenus univittatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Coccidophilus sp,1985,Coccidophilus sp,"Causton, 2006",NA,NA,NA,NA,NA,NA
Rodolia cardinalis Mulsant,2002,Rodolia cardinalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Allopentarthrum elumbe (Boheman),1964,Allopentarthrum elumbe,"Causton, 2006",NA,NA,NA,NA,NA,NA
Catolethrus sp1,1989,Catolethrus sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Caulophilus oryzae (Gyllenhal),1964,Caulophilus oryzae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Coelosternus leporinus (Champion),2001,Coelosternus leporinus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Cosmopolites sordidus (Germar),1964,Cosmopolites sordidus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Eubulus pilipectus (Champion),1989,Eubulus pilipectus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Euscepes postfasciatus Fairmaire,1975,Euscepes postfasciatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Galapaganus howdenae Lanteri,1999,Galapaganus howdenae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Metamasius hemipterus (L.),1964,Metamasius hemipterus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Polytus mellerborgii (Boheman),2000,Polytus mellerborgii,"Causton, 2006",NA,NA,NA,NA,NA,NA
Semnorhynchus sp,1989,Semnorhynchus sp,"Causton, 2006",NA,NA,NA,NA,NA,NA
Sitophilus oryzae (L.),1964,Sitophilus oryzae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Steirrhinus sp1,1999,Steirrhinus sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dermestes ater De Geer,1985,Dermestes ater,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dermestes carnivorus,1899,Dermestes carnivorus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dermestes maculatus De Geer,1835,Dermestes maculatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Carcinops sp1,1989,Carcinops sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Paromalus sp1,1989,Paromalus sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aculomicrus sp.,1989,Aculomicrus sp.,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dactylosternum abdominale F.,1989,Dactylosternum abdominale,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dactylosternum sp,1989,Dactylosternum sp,"Causton, 2006",NA,NA,NA,NA,NA,NA
Cryptolestes klapperichi Lefkovitch,1985,Cryptolestes klapperichi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Placonotus politissimus (Wollaston),1989,Placonotus politissimus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Adistemia watsoni (Wollaston),1985,Adistemia watsoni,"Causton, 2006",NA,NA,NA,NA,NA,NA
Cartodere constricta (Gyllenhal),1985,Cartodere constricta,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dienerella filum (Aube),1985,Dienerella filum,"Causton, 2006",NA,NA,NA,NA,NA,NA
Monotoma sp1,1989,Monotoma sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Typhaea stercorea (L.),1989,Typhaea stercorea,"Causton, 2006",NA,NA,NA,NA,NA,NA
Brachypeplus sp.,1985,Brachypeplus sp.,"Causton, 2006",NA,NA,NA,NA,NA,NA
"Carpophilus dimidiatus (F.), corn sap beetle",1985,Carpophilus dimidiatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Colopterus sp1,1996,Colopterus sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Colopterus truncatus Randall,1991,Colopterus truncatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Conotelus sp1,1985,Conotelus sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Haptoncus luteolus (Erichson),1989,Haptoncus luteolus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Stelidota sp1,1989,Stelidota sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Urophorus humeralis F.,1989,Urophorus humeralis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Acrotrichis discoloroides Johnson,1989,Acrotrichis discoloroides,"Causton, 2006",NA,NA,NA,NA,NA,NA
Bambara steevesi (Dybas),1975,Bambara steevesi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ancholaemus acuminatus Fairmaire,1966,Ancholaemus acuminatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Trigonodera lineata (Champion),1964,Trigonodera lineata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ataenius gracilis (Melsheimer),1991,Ataenius gracilis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ataenius liogaster Bates,1989,Ataenius liogaster,"Causton, 2006",NA,NA,NA,NA,NA,NA
Coccotrypes carpophagus (Hornung),1989,Coccotrypes carpophagus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Coccotrypes dactyliperda (F.),1991,Coccotrypes dactyliperda,"Causton, 2006",NA,NA,NA,NA,NA,NA
Coccotrypes rhizophorae (Hopkins),1985,Coccotrypes rhizophorae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Hypothenemus brunneus (Hopkins),1964,Hypothenemus brunneus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Hypothenemus californicus Hopkins,1988,Hypothenemus californicus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pagiocerus frontalis (F.),1964,Pagiocerus frontalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Xyleborinus gracilis (Eichoff),1934,Xyleborinus gracilis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Xyleborinus saxeseni (Ratzeburg),1996,Xyleborinus saxeseni,"Causton, 2006",NA,NA,NA,NA,NA,NA
Xyloborus spinulosus (Blandford),1964,Xyloborus spinulosus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Xylosandrus morigerus (Blandford),1991,Xylosandrus morigerus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ahasverus excisus (Reitter),1991,Ahasverus excisus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Cathartus quadricollis,1989,Cathartus quadricollis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Monanus concinnulus Walker,1985,Monanus concinnulus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Oryzaephilus surinamensis L.,1985,Oryzaephilus surinamensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Silvanus difficilis Halstead,1991,Silvanus difficilis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Anotylus sp1,1989,Anotylus sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Clavilispinus exiguus Erichson,1985,Clavilispinus exiguus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dalotia coriaria (Kraatz),1985,Dalotia coriaria,"Causton, 2006",NA,NA,NA,NA,NA,NA
Lathrobium sp1,1991,Lathrobium sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Myrmecocephalus concinnus (Erichson),1989,Myrmecocephalus concinnus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Oligota chrysopyga Kraatz,1985,Oligota chrysopyga,"Causton, 2006",NA,NA,NA,NA,NA,NA
Oligotergus fasciatus (Nordman),1996,Oligotergus fasciatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Oxytelus incisus Motschulsky,1989,Oxytelus incisus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Phanerota tridentata Klim. & Peck,1985,Phanerota tridentata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Philonthus discoideus (Gravenhorst),1991,Philonthus discoideus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Philonthus pauxillus Solsky,1989,Philonthus pauxillus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Philonthus ventralis (Gravenhorst),1992,Philonthus ventralis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Piestus minutus Erichson1,1989,Piestus minutus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Piestus pygmaeus Laporte,1985,Piestus pygmaeus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Piestus sulcatus Gravenhorst1,1964,Piestus sulcatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Platystethus spiculus Erichson1,1989,Platystethus spiculus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Sunius debilicornis (Wollaston),1989,Sunius debilicornis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Alphitobius laevigatus (F.),1904,Alphitobius laevigatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Gnathocerus cornutus (F.),1899,Gnathocerus cornutus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Gnathocerus maxillosus (F.),1964,Gnathocerus maxillosus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Paratenetus sp1,2002,Paratenetus sp1,"Causton, 2006",NA,NA,NA,NA,NA,NA
Sitophagus hololeptoides (Laporte),1975,Sitophagus hololeptoides,"Causton, 2006",NA,NA,NA,NA,NA,NA
Tribolium castaneum Herbst,1964,Tribolium castaneum,"Causton, 2006",NA,NA,NA,NA,NA,NA
Ceratophysella denticulata (Bagnall),1974,Ceratophysella denticulata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Rhodanella minos (Denis),1974,Rhodanella minos,"Causton, 2006",NA,NA,NA,NA,NA,NA
Arlesia albipes (Folsom),1974,Arlesia albipes,"Causton, 2006",NA,NA,NA,NA,NA,NA
Euborellia annulipes (Lucas),1901,Euborellia annulipes,"Causton, 2006",NA,NA,NA,NA,NA,NA
Circolabia arcuata (Scudder),1964,Circolabia arcuata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Labia annulata (F.),1991,Labia annulata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Labia curvicauda (Motschulsky),1991,Labia curvicauda,"Causton, 2006",NA,NA,NA,NA,NA,NA
Parajapyx isabellae (Grassi),1964,Parajapyx isabellae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Calycomyza lantanae Frick7,1964,Calycomyza lantanae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Chrysomya albiceps (Wiedemann),1985,Chrysomya albiceps,"Causton, 2006",NA,NA,NA,NA,NA,NA
Chrysomya megacephala (F.),1989,Chrysomya megacephala,"Causton, 2006",NA,NA,NA,NA,NA,NA
Cochliomyia macellaria (F.),1835,Cochliomyia macellaria,"Causton, 2006",NA,NA,NA,NA,NA,NA
Culicoides pusillus Lutz,1964,Culicoides pusillus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Forcipomyia genualis (Loew),1964,Forcipomyia genualis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Cadrema pallida (Loew)8,1932,Cadrema pallida,"Causton, 2006",NA,NA,NA,NA,NA,NA
Monochaetoscinella anonyma (Williston),1989,Monochaetoscinella anonyma,"Causton, 2006",NA,NA,NA,NA,NA,NA
Aedes aegypti (L.),2001,Aedes aegypti,"Causton, 2006",NA,NA,NA,NA,NA,NA
Culex quinquefasciatus Say,1985,Culex quinquefasciatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Drosophila hydei Sturtevant,1977,Drosophila hydei,"Causton, 2006",NA,NA,NA,NA,NA,NA
Drosophila immigrans Sturtevant,1925,Drosophila immigrans,"Causton, 2006",NA,NA,NA,NA,NA,NA
Drosophila repleta Wollaston,1977,Drosophila repleta,"Causton, 2006",NA,NA,NA,NA,NA,NA
Drosophila latifasciaeformis Duda,1977,Drosophila latifasciaeformis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Drosophila ananassae Doleschalle,1977,Drosophila ananassae,"Causton, 2006",NA,NA,NA,NA,NA,NA
Drosophila melanogaster Meigen,1977,Drosophila melanogaster,"Causton, 2006",NA,NA,NA,NA,NA,NA
Drosophila simulans Sturtevant,1948,Drosophila simulans,"Causton, 2006",NA,NA,NA,NA,NA,NA
Gitona braziliensis Lima,1948,Gitona braziliensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Athyroglossa tectora Cresson,2001,Athyroglossa tectora,"Causton, 2006",NA,NA,NA,NA,NA,NA
Clasiopella uncinata Hendel,1989,Clasiopella uncinata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Hecamede brasiliensis Cresson,1989,Hecamede brasiliensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Fannia pusio (Wiedemann),1932,Fannia pusio,"Causton, 2006",NA,NA,NA,NA,NA,NA
Lonchaea sp7,2001,Lonchaea sp7,"Causton, 2006",NA,NA,NA,NA,NA,NA
Desmometopa tarsalis Loew,1964,Desmometopa tarsalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Desmometopa varipalpis Malloch,1932,Desmometopa varipalpis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Atherigona orientalis Schiner,1899,Atherigona orientalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Brontaea debilis (Williston),1989,Brontaea debilis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Cyrtoneuropsis rescita (Walker),1996,Cyrtoneuropsis rescita,"Causton, 2006",NA,NA,NA,NA,NA,NA
Hydrotaea aenescens (Wiedemann),1835,Hydrotaea aenescens,"Causton, 2006",NA,NA,NA,NA,NA,NA
Musca domestica L.,1925,Musca domestica,"Causton, 2006",NA,NA,NA,NA,NA,NA
Philornis downsi Dodge & Aitken,1964,Philornis downsi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Stomoxys calcitrans (L.),1925,Stomoxys calcitrans,"Causton, 2006",NA,NA,NA,NA,NA,NA
Synthesiomyia nudiseta (Wulp),1899,Synthesiomyia nudiseta,"Causton, 2006",NA,NA,NA,NA,NA,NA
Pieza sinclairi Evenhuis,1985,Pieza sinclairi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Nerius sp7,2003,Nerius sp7,"Causton, 2006",NA,NA,NA,NA,NA,NA
Chonocephalus heymonsi Strobbe,1985,Chonocephalus heymonsi,"Causton, 2006",NA,NA,NA,NA,NA,NA
Dohrnophora cornuta Bigot,1925,Dohrnophora cornuta,"Causton, 2006",NA,NA,NA,NA,NA,NA
Megascelia scalaris (Loew),1923,Megascelia scalaris,"Causton, 2006",NA,NA,NA,NA,NA,NA
Puliciphora borinquenensis Wheeler,1985,Puliciphora borinquenensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Piophila casei (L.),1835,Piophila casei,"Causton, 2006",NA,NA,NA,NA,NA,NA
Clogmia albipunctata (Williston),1985,Clogmia albipunctata,"Causton, 2006",NA,NA,NA,NA,NA,NA
Psychoda alabangensis del Rosario,1985,Psychoda alabangensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Psychoda savaiiensis Edwards,1985,Psychoda savaiiensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Blaesoxipha plinthopyga (Wiedemann),1905,Blaesoxipha plinthopyga,"Causton, 2006",NA,NA,NA,NA,NA,NA
