GENUS_SPECIES,Authority,COMMON.NAME,Pest Type,JP NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Bemisia tabaci,(Gennadius),tobacco whitefly,Outdoor:Greenhouse:Tree,タバココナジラミ type Q,Hemiptera,Sternorrhyncha,Aleyrodidae,1989,NA,Leaf,Nearctic,"Yamanaka, 2015"
Trialeurodes packardi,(Morrill),strawberry whitefly,Greenhouse,イチゴコナジラミ,Hemiptera,Sternorrhyncha,Aleyrodidae,1974,NA,Leaf: Fruits,Nearctic,"Yamanaka, 2015"
Trialeurodes vaporariorum,(Westwood),Greenhouse white fly :  greenhouse whitefly:glasshouse whitefly,Outdoor:Greenhouse:Tree,オンシツコナジラミ,Hemiptera,Sternorrhyncha,Aleyrodidae,1974,NA,Leaf: Fruits,Nearctic  Australasia,"Yamanaka, 2015"
Acyrthosiphon argus,NA,NA,Tree,ジンチョウゲヒゲナガアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1989,NA,Leaf(ジンチョウゲ),Palearctic(Asia),"Yamanaka, 2015"
Acyrthosiphon chelidonii,(Meigen),NA,Unknown,クサノオウヒゲナガアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1981,NA,Leaf,NA,"Yamanaka, 2015"
Aphis fabae,Scopoli,black bean aphid,Outdoor,マメクロアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1994,NA,Leaf,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Aphis fabae solanella,Theobald,NA,Outdoor,イヌホウズキクロアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1989,NA,Leaf(イヌホウズキ),Palearctic(Europe),"Yamanaka, 2015"
Aphis hederae,NA,NA,Greenhouse,キヅタクロアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,NA,NA,Leaf,NA,"Yamanaka, 2015"
Aphis nerii,Boyer de Fonscolombe,Oleander Aphid,Tree,キョウチクトウアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,NA,NA,Leaf,Palearctic(Asia),"Yamanaka, 2015"
Aphis oenotherae,Oestlund,NA,Not pest,マツヨイグサアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,2001,NA,Leaf,Nearctic,"Yamanaka, 2015"
Aphis sp,NA,NA,Not pest,ツメクサアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,2001,NA,Leaf,Palearctic(Europe),"Yamanaka, 2015"
Aphis taraxacicola,NA,NA,Not pest,タンポポアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1983,NA,Leaf,Palearctic(Europe),"Yamanaka, 2015"
Dysaphis tulipae,(Boyer de Fonscolombe),tulip aphid:tulip bulb aphid,Greenhouse,チューリップネアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1940,NA,Leaf: Root,Nearctic,"Yamanaka, 2015"
Eriosoma lanigerum,NA,Woolly aphis of apple trees,Outdoor,リンゴワタムシ,Hemiptera,Sternorrhyncha,Aphididae,1873,NA,Leaf: Fruits,Nearctic,"Yamanaka, 2015"
Hysteroneura setariae,NA,NA,Unknown,ホモノクロアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,NA,NA,Leaf,NA,"Yamanaka, 2015"
Illinoia lambersi,NA,NA,Tree,ツツジヒゲナガアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1985,NA,Leaf,NA,"Yamanaka, 2015"
Illinoia liriodendri,NA,NA,Tree,ユリノキヒゲナガアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1997,NA,Leaf(ユリノキ),Nearctic,"Yamanaka, 2015"
Macrosiphum euphorbiae,(Thomas),Potato aphid :  potato aphid:tomato aphid,Outdoor:Greenhouse,チューリップヒゲナガアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1964,NA,Leaf,Nearctic,"Yamanaka, 2015"
Metopolophium dirhodum,(Walker),Roesel’s Katydid,Outdoor,ムギウスイロアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1988,NA,Leaf,Palearctic(Europe),"Yamanaka, 2015"
Myzus ornatus,Laing,Ornate aphid,Greenhouse,スミレコブアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1981,NA,Leaf,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Nasonovia ribisnigri,(Mosley),NA,Outdoor:Greenhouse,レタスヒゲナガアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,2010,NA,Leaf,Palearctic(Europe),"Yamanaka, 2015"
Nearctaphis bakeri,NA,NA,Outdoor,ツメクサベニマルアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1985,NA,Leaf,Nearctic,"Yamanaka, 2015"
Pentalonia nigronervosa,NA,NA,Outdoor,クロスジコバネアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,2006,NA,Leaf,Paleartic(Asia),"Yamanaka, 2015"
Rhopalosiphum insertum,NA,NA,Outdoor,リンゴクビレアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1926,NA,Leaf: Fruits,Palearctic(Asia)  Palearctic(Europe)Nearctic,"Yamanaka, 2015"
Schizaphis graminum,(Rondani),pine needle aphid,Outdoor,ムギミドリアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1924,NA,Leaf,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Siphonatrophia cupressi,NA,NA,Tree,ヒノキアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,2011,NA,Leaf,Nearctic,"Yamanaka, 2015"
Smynthurodes betae,NA,NA,Outdoor,ケブカチチュウワタムシ,Hemiptera,Sternorrhyncha,Aphididae,1982,NA,Leaf,NA,"Yamanaka, 2015"
Therioaphis trifolii,(Monell),spotted alfalfa-like aphid,Outdoor,アルファルファアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1982,NA,Leaf,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Tuberolachnus macrotuberculatus,NA,NA,Outdoor,ビワコブオオアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,2010,NA,Leaf: Fruits,Palearctic(Asia),"Yamanaka, 2015"
Uroleucon erigeronensis,NA,NA,Not pest,ヒメムカシヨモギヒゲナガアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1981,NA,Leaf,Nearctic,"Yamanaka, 2015"
Uroleucon nigrotuberculatum,NA,NA,Not pest,セイタカアワダチソウヒゲナガアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,1991,NA,Leaf,Nearctic,"Yamanaka, 2015"
Uroleucon taraxaci,(Walker),NA,Not pest,タンポポヒゲナガアブラムシ,Hemiptera,Sternorrhyncha,Aphididae,NA,NA,Leaf,NA,"Yamanaka, 2015"
Ceroplastes rubens,Maskell,red wax scale :  red wax scale:pink wax scale,Outdoor:Greenhouse:Tree,ルビーロウムシ,Hemiptera,Sternorrhyncha,Coccidae,1897,NA,Leaf: Fruits (カンキツ),Palearctic(Asia)  Indomalaya  Australasia,"Yamanaka, 2015"
Coccus longulus,(Douglas),long brown scale:long soft scale,Outdoor:Greenhouse:Tree,ナガカタカイガラムシ,Hemiptera,Sternorrhyncha,Coccidae,1895,NA,Leaf (観葉植物): Fruits,Pantropic,"Yamanaka, 2015"
Coccus viridis,(Green),soft green scale,Outdoor:Tree,ミドリカタカイガラムシ,Hemiptera,Sternorrhyncha,Coccidae,1997,NA,Leaf: Fruits (コーヒー、カンキツ),Neotropic,"Yamanaka, 2015"
Eucalymnatus tessellatus,(Signoret),Spotted Gum Lerp Psyllid,Outdoor:Tree,カメノコカタカイガラムシ,Hemiptera,Sternorrhyncha,Coccidae,1917,NA,Leaf (観葉植物？),Pantropic,"Yamanaka, 2015"
Milviscutulus mangiferae,(Green),mango soft scale,Outdoor:Greenhouse:Tree,マンゴーカタカイガラムシ,Hemiptera,Sternorrhyncha,Coccidae,1955,NA,Leaf: Fruits,Indomalaya,"Yamanaka, 2015"
Parasaissetia nigra,(Nietner),nigra scale :  nigra scale,Outdoor:Greenhouse:Tree,クロカタカイガラムシ,Hemiptera,Sternorrhyncha,Coccidae,1895,NA,Leaf: Fruits,Afrotropic,"Yamanaka, 2015"
Parthenolecanium corni,(Bouche),European peach scale: grapevine scale,Outdoor:Tree,ミズキカタカイガラムシ,Hemiptera,Sternorrhyncha,Coccidae,1912,NA,Leaf: Fruits,Palearctic(Asia) Palearctic(Europe),"Yamanaka, 2015"
Parthenolecanium pomeranicum,NA,NA,Tree,イチイカタカイガラムシ,Hemiptera,Sternorrhyncha,Coccidae,1990,NA,Leaf(イチイ),Palearctic(Europe),"Yamanaka, 2015"
Saissetia coffeae,(Walker),hemispharical scale :  hemispherical scale,Outdoor:Greenhouse:Tree,ハンエンカタカイガラムシ,Hemiptera,Sternorrhyncha,Coccidae,1902,NA,Leaf: Fruits (極めて食性が広い),Afrotropic,"Yamanaka, 2015"
Saissetia oleae,(Olivier),black scale :  mediterranean black scale:brown olive scale,Outdoor:Greenhouse,オリーブカタカイガラムシ,Hemiptera,Sternorrhyncha,Coccidae,1900,NA,Leaf: Fruits,Palearctic(Europe) Afrotropic,"Yamanaka, 2015"
Abgrallaspis cyanophylli,(Signoret),NA,Greenhouse,シュロマルカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1907,NA,Leaf: Fruits,Neotropic,"Yamanaka, 2015"
Aonidiella citrina,(Coquillett),NA,Outdoor,キマルカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1911,NA,Leaf: Fruits (カンキツなど樹木),Indomalaya,"Yamanaka, 2015"
Aonidiella comperei,NA,NA,Outdoor:Tree,アカマルカイガラムシ属の一種,Hemiptera,Sternorrhyncha,Diaspididae,2010,NA,Leaf: Fruits,Indomalaya,"Yamanaka, 2015"
Aspidiotus excisus,Green,NA,Outdoor,クサギウスマルカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1993,NA,Leaf: Fruits (極めて食性が広い),Indomalaya,"Yamanaka, 2015"
Chrysomphalus aonidum,(Linnaeus),Florida red scale :  Florida red scale:circular black scale,Outdoor:Greenhouse,アカホシマルカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1900,NA,Leaf: Fruits,Palearctic(Asia)  Indomalaya,"Yamanaka, 2015"
Chrysomphalus dictyospermi,(Morgan),dictyospermum scale,Outdoor:Greenhouse:Tree,オンシツマルカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1954,NA,Leaf: Fruits,Neotropic,"Yamanaka, 2015"
Diaspidiotus perniciosus,(Comstock),San Jose scale,Outdoor:Greenhouse:Tree,ナシマルカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1860,NA,Leaf: Fruits (ナシ・カキなど),Nearctic Palearctic(Asia),"Yamanaka, 2015"
Diaspis boisduvalii,Signoret,orchid scale,Greenhouse,ランシロカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1917,NA,Leaf,Neotropic,"Yamanaka, 2015"
Diaspis bromeliae,(Kerner),pineapple scale :  pineapple scale,Greenhouse,アナナスシロカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1917,NA,Leaf: Fruits (パインアップル),Neotropic,"Yamanaka, 2015"
Diaspis echinocacti,(Bouché),Cactus scale :  cactus scale,Greenhouse,サボテンシロカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1917,NA,Leaf (サボテン),Neotropic,"Yamanaka, 2015"
Fiorinia fioriniae,(Targioni Tozzeti),NA,Greenhouse,コノハカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,NA,NA,Leaf: Fruits (アボガド・観葉植物など多様),Indomalaya,"Yamanaka, 2015"
Gymnaspis aechmeae,(Signoret),flyspeck scale,Greenhouse,アナナスクロホシカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,NA,NA,Leaf: Fruits (パインアップル),Palearctic(Asia)  Indomalaya,"Yamanaka, 2015"
Hemiberlesia palmae,(Cockerell),"the tropical palm scale, syn(Dynaspidiotus palmae)",Greenhouse,ジャワマルカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1963,NA,Leaf: Fruits (極めて食性が広い),Indomalaya,"Yamanaka, 2015"
Kuwanaspis howardi,Cooley,NA,Tree,ハワードシロナガカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,NA,NA,Leaf (竹の子),Palearctic(Asia),"Yamanaka, 2015"
Lepidosaphes beckii,(Newman),purple scale :  purple scale:mussel scale,Outdoor,ミカンカキカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1902,NA,Leaf: Fruits (マンゴ),Palearctic(Asia),"Yamanaka, 2015"
Lepidosaphes cupressi,Borchsenius,NA,Outdoor:Tree,カキノキカキカイガラムシ（広葉樹寄生型）,Hemiptera,Sternorrhyncha,Diaspididae,1962,NA,Leaf: Fruits (ヤマモモなど極めて広食),Palearctic(Asia),"Yamanaka, 2015"
Lepidosaphes　tokionis,(Kuwana),NA,Tree,クロトンカキカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1900,NA,NA,Indomalaya,"Yamanaka, 2015"
Lepidosaphes ulmi,(Linnaeus),oyster-shell scale :  oystershell scale:mussel scale:apple mussel scale,Outdoor:Tree,リンゴカキカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1872,NA,Leaf: Fruits (バラ科),Palearctic(Europe),"Yamanaka, 2015"
Melanaspis obscura,(Meyrick),NA,Tree,カシクロマルカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1985,NA,Leaf: (カシ),Nearctic,"Yamanaka, 2015"
Morganella longispina,(Morgan),plumose scale,Outdoor:Greenhouse:Tree,イチジクマルカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1951,NA,Leaf: Fruits (マンゴ),Palearctic(Asia),"Yamanaka, 2015"
Parlatoria proteus,(Curtis),proteus scale: cattleya scale:orchid scale,Outdoor:Greenhouse,ナガクロホシカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,NA,NA,Leaf (観葉植物),Indomalaya,"Yamanaka, 2015"
Parlatoria ziziphi,(Lucas),European fruit lecanium: plum scale (Australia): brown scale: peach scale: Mediterranean scale :  black parlatoria scale: citrus scale:Mediterranean scale,Outdoor,ヒメクロカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,NA,NA,Leaf: Fruits (カンキツ・カラタチ),Indomalaya,"Yamanaka, 2015"
Pseudoparlatoria parlatorioides,(Comstock),Scale insect :  false parlatoria scale,Greenhouse,ランウスマルカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,NA,NA,Leaf (ラン): Fruits (桃),Neotropic,"Yamanaka, 2015"
Unaspis yanonensis,(Kuwana),NA,Outdoor,ヤノネカイガラムシ,Hemiptera,Sternorrhyncha,Diaspididae,1907,NA,Leaf: Fruits (カンキツ),Indomalaya,"Yamanaka, 2015"
Eriococcus coccineus,Cockerell,cactus felt scale: cactus mealybug,Greenhouse,サボテンフクロカイガラムシ,Hemiptera,Sternorrhyncha,Eriococcidae,1922,NA,Leaf (サボテン),Neotropic,"Yamanaka, 2015"
Kermes galliformis,(Heymons),NA,Tree,ピンオークタマカイガラムシ,Hemiptera,Sternorrhyncha,Kermestidae,1985,NA,Leaf: (カシ),Nearctic,"Yamanaka, 2015"
Icerya purchasi,(Maskell),Cottony cushion scale :  cottony-cushion scale:fluted scale,Outdoor:Greenhouse:Tree,イセリアカイガラムシ,Hemiptera,Sternorrhyncha,Margarodidae,1911,NA,Leaf: Fruits (カンキツ),Nearctic Australasia,"Yamanaka, 2015"
Icerya seychellarum,(Westwood),NA,Outdoor:Greenhouse:Tree,キイロワタフキカイガラムシ,Hemiptera,Sternorrhyncha,Margarodidae,1907,NA,Leaf: Fruits (ソテツ・ツバキ),Indomalaya,"Yamanaka, 2015"
Aphanostigma iaksuiense,Theobald,NA,Outdoor,キナコネアブラムシ,Hemiptera,Sternorrhyncha,Phylloxeridae,1981,NA,Leaf,NA,"Yamanaka, 2015"
Moritziella castaneivora,Scopoli,NA,Outdoor,クリイガアブラムシ,Hemiptera,Sternorrhyncha,Phylloxeridae,1970,NA,Leaf: (クリ),NA,"Yamanaka, 2015"
Viteus vitifolii,NA,NA,Outdoor,ブドウネアブラムシ,Hemiptera,Sternorrhyncha,Phylloxeridae,1885,NA,Leaf: Fruits,Nearctic,"Yamanaka, 2015"
Antonina graminis,(maskell),Rhodesgrass scale :  Rhodes grass mealybug,Greenhouse,チガヤシロオカイガラムシ,Hemiptera,Sternorrhyncha,Pseudococcidae,1971,NA,Leaf (シバ),Palearctic(Asia) Palearctic(Europe) Afrotropic,"Yamanaka, 2015"
Hypogeococcus spinosus,Ferris,NA,Greenhouse,サボテンコナカイガラムシ,Hemiptera,Sternorrhyncha,Pseudococcidae,1969,NA,Leaf (サボテン),Nearctic  Neotropic,"Yamanaka, 2015"
Phenacoccus avenae,NA,NA,Greenhouse,キュウコンコナカイガラムシ,Hemiptera,Sternorrhyncha,Pseudococcidae,2002,NA,Root (スイセンなど),Palearctic(Asia),"Yamanaka, 2015"
Phenacoccus madeirensis,Green,Mexican mealybug :  Madeira mealybug,Greenhouse:Tree,マディラコナカイガラムシ,Hemiptera,Sternorrhyncha,Pseudococcidae,NA,NA,Leaf (野菜花卉類),Pantropic,"Yamanaka, 2015"
Phenacoccus solani,Ferris,solanum mealybug :  solanum mealybug,Greenhouse,ナスコナカイガラムシ,Hemiptera,Sternorrhyncha,Pseudococcidae,2000,NA,Leaf: Fruits (ピーマン・ナスなど),Nearctic  Neotropic,"Yamanaka, 2015"
Phenacoccus solenopsis,NA,NA,Greenhouse,クロテンコナカイガラムシ,Hemiptera,Sternorrhyncha,Pseudococcidae,2013,NA,Leaf: Fruits (ピーマン・ミニトマトなど),Nearctic  Neotropic,"Yamanaka, 2015"
Planococcus citri,(Risso),Citrus mealybug :  citrus mealybug,Outdoor:Greenhouse:Tree,ミカンコナカイガラムシ,Hemiptera,Sternorrhyncha,Pseudococcidae,1917,NA,Leaf (主に観葉植物),Cosmopolitan,"Yamanaka, 2015"
Pseudococcus longispinus,(Targioni-Tozzetti),Long-tailed mealybug :  long-tailed mealybug,Outdoor:Greenhouse,ナガオコナカイガラムシ,Hemiptera,Sternorrhyncha,Pseudococcidae,1917,NA,Leaf (主に観葉植物),Pantropic,"Yamanaka, 2015"
Rhizoecus cacticans,(Hambleton),cacticans mealybug,Greenhouse,サボテンネコナカイガラムシ,Hemiptera,Sternorrhyncha,Pseudococcidae,1971,NA,Leaf (サボテン),Neotropic,"Yamanaka, 2015"
Cacopsylla biwa,NA,NA,Outdoor,ビワキジラミ,Hemiptera,Sternorrhyncha,Psyllidae,2012,NA,Leaf: Fruits (ビワ),Palearctic(Asia),"Yamanaka, 2015"
Cacopsylla chinensis,Stach,NA,Outdoor,チュウゴクナシキジラミ,Hemiptera,Sternorrhyncha,Psyllidae,2011,NA,Leaf: Fruits (ナシ害虫),Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Longistiguma liquidambarus,NA,NA,Tree,フウナガマダラオオアブラムシ,Hemiptera,Sternorrhyncha,Psyllidae,1990,NA,Leaf (フウ・モミジバフウ),Indomalaya,"Yamanaka, 2015"
Microceropsylla nigra,(Crowford),NA,Greenhouse,マンゴーキジラミ,Hemiptera,Sternorrhyncha,Psyllidae,2011,NA,Leaf (マンゴー),Indomalaya,"Yamanaka, 2015"
Eupteryx　decemnotata,Rey,NA,Greenhouse: Outdoor,Eupteryx decemnotata,Hemiptera,NA,Cicadellidae,2016,NA,NA,Palearctic(Europe),"Yamanaka, 2015"
Aneristus ceroplastae,(Fitch),NA,BiolAge,Aneristus ceroplastae,Hymenoptera,NA,Aphelinidae,1932,I,Insect,Indomalaya,"Yamanaka, 2015"
Aphelinus mali,(Haldeman),NA,BiolAge,ワタムシヤドリコバチ,Hymenoptera,NA,Aphelinidae,1932,I,Insect,Nearctic,"Yamanaka, 2015"
Aphytis yanonensis,DeBach and Rosen,NA,BiolAge,ヤノネキイロコバチ,Hymenoptera,NA,Aphelinidae,1980,I,Insect,Palearctic(Asia),"Yamanaka, 2015"
Coccobius fulvus,(Morrill),syn(Physcus fulvus),BiolAge,ヤノネツヤコバチ,Hymenoptera,NA,Aphelinidae,1980,I,Insect,Palearctic(Asia),"Yamanaka, 2015"
Encarsia formosa,(Gahan),NA,BiolAge,オンシツツヤコバチ,Hymenoptera,NA,Aphelinidae,1975,I,Insect,Neotropic,"Yamanaka, 2015"
Encarsia smithi,(Silvestri),NA,BiolAge,シルベストリコバチ,Hymenoptera,NA,Aphelinidae,1925,I,Insect,Palearctic(Asia)  Indomalaya,"Yamanaka, 2015"
Bombus terrestris,Ferris,NA,Not pest (Intentional),セイヨウオオマルハナバチ,Hymenoptera,NA,Apidae,1997,I,Other,Palearctic(Europe),"Yamanaka, 2015"
Xylocopa tranquebarorum,(Cockerell),NA,Unknown,タイワンタケクマバチ,Hymenoptera,NA,Apidae,2007,NA,Other,Indomalaya,"Yamanaka, 2015"
Cephalonomia gallicola,(Ashmead),NA,Not pest (Predator),シバンムシアリガタバチ,Hymenoptera,NA,Bethylidae,1971,NA,Insect,Nearctic  Palearctic(Europe),"Yamanaka, 2015"
Praestochrysis shanghaiensis,Smith,syn (Chrysis shanghaiensis),Not pest (Predator),イラガセイボウ,Hymenoptera,NA,Chrysididae,1914,NA,Insect,Palearctic(Asia),"Yamanaka, 2015"
Dryocosmus kuriphilus,Yasumatsu,Chestnut gall wasp,Outdoor,クリタマバチ,Hymenoptera,NA,Cynipidae,1941,NA,Leaf: (クリ),Palearctic(Asia),"Yamanaka, 2015"
Anicetus beneficus,(Say),NA,Not pest (Predator),ルビーアカヤドリトビコバチ,Hymenoptera,NA,Encyrtidae,1941,NA,Insect,Palearctic(Asia)  China,"Yamanaka, 2015"
Eupelmus sp.,(Blamchard),NA,Not pest (Predator),Eupelmus sp.和名なし,Hymenoptera,NA,Eupelmidae,1997,NA,Insect,NA,"Yamanaka, 2015"
Bruchophagus gibbus,(Boheman),NA,Outdoor,クローバータネコバチ,Hymenoptera,NA,Eurytomidae,1912,NA,Seeds (クローバー),Palearctic(Asia),"Yamanaka, 2015"
Brachymyrmex sp.1,-,NA,Sanit,クロコツブアリ,Hymenoptera,NA,Formicidae,2002,NA,Insect: Seeds: DryA,unknown,"Yamanaka, 2015"
Camponotus　ogasawarensis,Terayama & Satoh,NA,Sanit,オガサワラオオアリ,Hymenoptera,NA,Formicidae,NA,NA,NA,Paleartic(Asia) (Ogasawara),"Yamanaka, 2015"
Camponotus　shohki,Terayama,NA,Sanit,アカヒラズオオアリ,Hymenoptera,NA,Formicidae,NA,NA,NA,Paleartic(Asia) (Okinawa),"Yamanaka, 2015"
Cardiocondyla　obscurior,Wheeler,NA,Sanit,キイロハダカアリ,Hymenoptera,NA,Formicidae,NA,NA,NA,Indomalaya,"Yamanaka, 2015"
Cardiocondyla　sp.A,NA,NA,Sanit,トゲハダカアリ,Hymenoptera,NA,Formicidae,NA,NA,NA,Indomalaya,"Yamanaka, 2015"
Cardiocondyla　sp.B,NA,NA,Sanit,カドハダカアリ,Hymenoptera,NA,Formicidae,NA,NA,NA,Indomalaya,"Yamanaka, 2015"
Hypoponera bondroiti,(Forel),NA,Sanit,トビニセハリアリ,Hymenoptera,NA,Formicidae,1988,NA,Insect: Seeds: DryA,Pantropic,"Yamanaka, 2015"
Hypoponera nubatama,NA,NA,Sanit,クロニセハヤアリ,Hymenoptera,NA,Formicidae,NA,NA,Insect: Seeds: DryA,Paleartic(Asia) (Okinawa)  Indomalaya,"Yamanaka, 2015"
Linepithema humile,Mayr,Argentine ant,Sanit,アルゼンチンアリ,Hymenoptera,NA,Formicidae,1993,NA,Insect: Seeds: DryA,Neotropic,"Yamanaka, 2015"
Monomorium chinense,NA,NA,Sanit,クロヒメアリ,Hymenoptera,NA,Formicidae,NA,NA,Insect: Seeds: DryA,Indomalaya  Palearctic(Asia)  China,"Yamanaka, 2015"
Monomorium floricola,(Jerdon),NA,Sanit,フタイロヒメアリ,Hymenoptera,NA,Formicidae,NA,NA,Insect: Seeds: DryA,Indomalaya,"Yamanaka, 2015"
Monomorium pharaonis,Linnaeus,Pharaoh's ant,Sanit,イエヒメアリ,Hymenoptera,NA,Formicidae,1930,NA,Insect: Seeds: DryA,Afrotropic,"Yamanaka, 2015"
Ochetellus glaber,Mayr,NA,Sanit,ルリアリ,Hymenoptera,NA,Formicidae,NA,NA,Insect: Seeds: DryA,Indomalaya,"Yamanaka, 2015"
Odontomachus　monticola,Emery,NA,Sanit,アギトアリ,Hymenoptera,NA,Formicidae,NA,NA,NA,NA,"Yamanaka, 2015"
Paratrechina amia,Mayr,syn (P. bourbonica),Sanit,ケブカアメイロアリ,Hymenoptera,NA,Formicidae,NA,NA,Insect: Seeds: DryA,Okinawa  Palearctic(Asia),"Yamanaka, 2015"
Paratrechina longicornis,(Latreille),crazy ant,Sanit,ヒゲナガアメイロアリ,Hymenoptera,NA,Formicidae,1928,NA,Insect: Seeds: DryA,Afrotropic  Indomalaya,"Yamanaka, 2015"
Pheidole fervens,NA,NA,Sanit,ミナミオオズアリ,Hymenoptera,NA,Formicidae,NA,NA,Insect: Seeds: DryA,NA,"Yamanaka, 2015"
Pheidole indica,Mayr,NA,Sanit,インドオオズアリ,Hymenoptera,NA,Formicidae,NA,NA,Insect: Seeds: DryA,Okinawa  Palearctic(Asia),"Yamanaka, 2015"
