GENUS_SPECIES,Authority,COMMON.NAME,Pest Type,JP NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Pristomyrmex　punctatus,Mayr,NA,Sanit,アミメアリ,Hymenoptera,NA,Formicidae,NA,NA,NA,Indomalaya,"Yamanaka, 2015"
Pyramica membranifera,(Emery),syn (Trichoscapa membranifera),Sanit,トカラウロコアリ,Hymenoptera,NA,Formicidae,NA,NA,Insect: Seeds: DryA,Afrotropic,"Yamanaka, 2015"
Tapinoma melanocephalum,(Fabricius),NA,Sanit,アワテコヌカアリ,Hymenoptera,NA,Formicidae,1927,NA,Insect: Seeds: DryA,Indomalaya,"Yamanaka, 2015"
Technomyrmex brunneus,NA,NA,Sanit,NA,Hymenoptera,NA,Formicidae,NA,NA,Detritivore,Paleartic(Asia),"Yamanaka, 2015"
Tetramorium bicarinatum,Nylander,NA,Sanit,オオシワアリ,Hymenoptera,NA,Formicidae,NA,NA,Insect: Seeds: DryA,Indomalaya,"Yamanaka, 2015"
Bathyplectes anurus,(Thomson),NA,BiolAge,ヨーロッパトビチビアメバチ,Hymenoptera,NA,Ichneumonidae,1989,I,Insect,Nearctic  Palearctic(Europe),"Yamanaka, 2015"
Megachile ainu,Fabricius,syn (Megachile rotundata),Sanit,アルファルファハキリバチ,Hymenoptera,NA,Megachilidae,1980,I,Insect,Palearctic(Asia) Palearctic(Europe),"Yamanaka, 2015"
Osmia submicans,Morawitz,NA,Sanit,ムラカミツツハナバチ,Hymenoptera,NA,Megachilidae,2011,NA,Insect: Seeds,Palearctic(Europe),"Yamanaka, 2015"
Platygaster robiniae,NA,NA,Sanit,ハリエンジュハベリマキタマバエの寄生蜂,Hymenoptera,NA,Platygastridae,2003,NA,Insect,Palearctic(Asia)  Palearctic(Europe)  Nearctic,"Yamanaka, 2015"
Sapyga coma,NA,NA,Sanit,チョウセンホソミコバチ,Hymenoptera,NA,Sapygidae,2005,NA,Insect,Palearctic(Asia),"Yamanaka, 2015"
Ampulex amoena,(Uhler),syn (Ampulex dissector),Sanit,セナガアナバチ,Hymenoptera,NA,Sphecidae,NA,NA,Insect,Indomalaya,"Yamanaka, 2015"
Sceliphron caementarium,(Drury),mud-dauber,Sanit,アメリカジガバチ,Hymenoptera,NA,Sphecidae,1945,NA,Insect,Nearctic  Neotropic,"Yamanaka, 2015"
Sceliphron deforme deforme,NA,syn (Hensenia deforme deforme),Sanit,モンキジガバチ沖縄亜種・タイワンモンキジカバチ,Hymenoptera,NA,Sphecidae,NA,NA,Insect,Paleartic(Asia),"Yamanaka, 2015"
Caliroa cerasi,(Linnaeus),pear sawfly,Outdoor:Tree,オウトウナメクジハバチ,Hymenoptera,NA,Tenthredinidae,1914,NA,Leaf: Fruits (桃),Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Torymus sinensis,(Haldemann),NA,BioAge,チュウゴクオナガコバチ,Hymenoptera,NA,Torymidae,1981,I,BiolAge,Palearctic(Asia),"Yamanaka, 2015"
Delta esuriens okinawae,NA,NA,Sanit,クロスジスズバチ琉球亜種・クロスジスズバチ,Hymenoptera,NA,Vespidae,NA,NA,Insect,Paleartic(Asia),"Yamanaka, 2015"
Tachypompilus analis,NA,NA,Sanit,ツマアカベッコウ,Hymenoptera,NA,Vespidae,1964,NA,Insect,Indomalaya,"Yamanaka, 2015"
Vespa velutina,NA,NA,Sanit,ツマアカスズメバチ,Hymenoptera,NA,Vespidae,2012,NA,Insect,Palearctic(Asia),"Yamanaka, 2015"
Cryptotermes brevis,(Walker),West Indian drywood termite,Timber,ニシインドカンザイシロアリ,Isoptera,NA,Kalotermitidae,2009,NA,Wood,Neotropic,"Yamanaka, 2015"
Incisitermes minor,(Hagen),western drywood termite :  Western drywood termite,Timber,アメリカカンザイシロアリ,Isoptera,NA,Kalotermitidae,1975,NA,Wood,Nearctic,"Yamanaka, 2015"
Coptotermes formosanus,Shiraki,Soil-nesting termite :  Formosan subterranean termite,Outdoor:Timber,イエシロアリ,Isoptera,NA,Rhinotermitidae,NA,NA,Wood,Indomalaya,"Yamanaka, 2015"
Reticulitermes kanmonensis,Takematsu,NA,Timber,カンモンシロアリ,Isoptera,NA,Rhinotermitidae,1901,NA,Wood,Indomalaya,"Yamanaka, 2015"
Zootermopsis angusticollis,(Hagen),American common damp-wood termite,Timber,アメリカオオシロアリ,Isoptera,NA,Termopsidae,1981,NA,Wood,Nearctic,"Yamanaka, 2015"
Zootermopsis nevadensis,NA,NA,Timber,ネバダオオシロアリ,Isoptera,NA,Termopsidae,1999,NA,Wood,Nearctic,"Yamanaka, 2015"
Hyphantria cunea,(Drury),NA,Outdoor:Greenhouse:Tree,アメリカシロヒトリ,Lepidoptera,NA,Arctiidae,1945,NA,Leaf,Nearctic,"Yamanaka, 2015"
Anatrachyntis rileyi,NA,NA,Stored,トウモロコシトガリホソガ,Lepidoptera,NA,Cosmopterigidae,1996,NA,Seeds,NA,"Yamanaka, 2015"
Pectinophora gossypiella,(Saunders),cotton boll-worm :  pink bollworm,Outdoor,ワタアカミムシガ,Lepidoptera,NA,Gelechiidae,NA,NA,Leaf,Australasia Indomalaya,"Yamanaka, 2015"
Phthorimaea operculella,(Zeller),tobacco splitworm :  potato tuberworm:potato tubermoth,Outdoor:Greenhouse,ジャガイモキバガ,Lepidoptera,NA,Gelechiidae,1954,NA,Leaf,Neotropic,"Yamanaka, 2015"
Sitotroga cerealella,(Olivier),Angoumois grain moth :  Angoumois grain moth:grain moth,Stored,バクガ,Lepidoptera,NA,Gelechiidae,1889,NA,Seeds,Pantropic,"Yamanaka, 2015"
Milionia basalis pryeri,NA,NA,Outdoor,キオビエダシャク,Lepidoptera,NA,Geometridae,1942,NA,Leaf,Paleartic(Asia),"Yamanaka, 2015"
Thymelicus lineola,(Ochsenheimer),The Essex Skipper,Outdoor,カラフトセセリ,Lepidoptera,NA,Hesperiidae,1999,NA,Leaf(イネ科牧草),Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Asota ficus,NA,NA,Outdoor,イチジクヒトリモドキ,Lepidoptera,NA,Hypsidae,1999,NA,Leaf,Paleartic(Asia),"Yamanaka, 2015"
Lebeda nobilis,NA,NA,Outdoor,ムラクモカレハ,Lepidoptera,NA,Lasiocampidae,2003,NA,Leaf,NA,"Yamanaka, 2015"
Parasa lepida,(Cramer),NA,Outdoor:Greenhouse:Tree,ヒロヘリアオイラガ,Lepidoptera,NA,Limacodidae,1921,NA,Leaf,Indomalaya,"Yamanaka, 2015"
Chilades pandava,(Horsfield),NA,Not pest,クロマダラソテツシジミ,Lepidoptera,NA,Lycaenidae,2008,NA,Leaf,Indomalaya,"Yamanaka, 2015"
Tongeia filicaudis,(Pryer),NA,Not pest,ムシャクロツバメ,Lepidoptera,NA,Lycaenidae,2013,NA,Leaf,Indomalaya  Palearctic(Asia),"Yamanaka, 2015"
Autographa gamma,NA,NA,Outdoor:Greenhouse,ガマキンウワバ,Lepidoptera,NA,Noctuidae,1962,NA,Leaf,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Helicoverpa armigera,NA,NA,Outdoor:Greenhouse,オオタバコガ,Lepidoptera,NA,Noctuidae,1994,NA,Leaf: Fruits (様々な果物野菜を加害),NA,"Yamanaka, 2015"
Peridroma saucia,(Hubner),NA,Outdoor:Greenhouse,ニセタマナヤガ,Lepidoptera,NA,Noctuidae,1976,NA,Leaf: Fruits (様々な果物野菜を加害),Neotropic,"Yamanaka, 2015"
Spodoptera cilium,NA,NA,Greenhouse,クシナシスジキリヨトウ,Lepidoptera,NA,Noctuidae,1999,NA,Leaf (芝),Paleartic(Asia),"Yamanaka, 2015"
Hestina assimilis,(Linnaeus),NA,Tree,アカボシゴマダラ,Lepidoptera,NA,Nymphalidae,1995,I,Leaf,Palearctic(Asia),"Yamanaka, 2015"
Martyringa xeraula,(Meyrick),syn (Anchonoma xaraula),Stored,コクマルハキバガ,Lepidoptera,NA,Oecophoridae,NA,NA,Seeds,Palearctic(Asia)  Palearctic(Europe)  Indomalaya,"Yamanaka, 2015"
Sericinus montela,(Hausmann),NA,Not pest,ホソオアゲハ,Lepidoptera,NA,Papilionidae,1979,I,Leaf(ウマノスズクサ),Palearctic(Asia),"Yamanaka, 2015"
Pieris brassicae,NA,NA,Outdoor,オオモンシロチョウ,Lepidoptera,NA,Pieridae,1995,NA,Leaf,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Pieris rapae,(Linnaeus),cabbage-butterfly: syn (Pieris rapae crucivora),Outdoor,モンシロチョウ,Lepidoptera,NA,Pieridae,NA,NA,Leaf,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Pontia daplidice,NA,NA,Outdoor,チョウセンシロチョウ,Lepidoptera,NA,Pieridae,1929,NA,Leaf(モクセイソウ科，アブラナ科),Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Eumeta japonica,NA,syn (Eumeta variegata),Outdoor:Greenhouse:Tree,オオミノガ,Lepidoptera,NA,Psychidae,NA,NA,Leaf,Palearctic(Asia),"Yamanaka, 2015"
Stenoptilia zophodactylus,(Duponchel),NA,Greenhouse,キキョウトリバ,Lepidoptera,NA,Pterophoridae,1975,NA,Leaf,Neotropic Afrotropic Indomalaya,"Yamanaka, 2015"
Aglossa dimidiata,NA,NA,Stored,コメシマメイガ,Lepidoptera,NA,Pyralidae,NA,NA,Seeds,Palearctic(Asia)  Indomalaya,"Yamanaka, 2015"
Cadra cautella,(Walker),syn (Ephestia cautella): almond moth,Stored,スジマダラメイガ,Lepidoptera,NA,Pyralidae,1958,NA,Seeds,Palearctic(Europe),"Yamanaka, 2015"
Crocidolomia　pavonana,(Fabricius),NA,Outdoor,ケブカノメイガ,Lepidoptera,NA,Pyralidae,1990,NA,NA,Indomalaya,"Yamanaka, 2015"
Doloessa viridis,NA,NA,Outdoor,ミドリツヅリガ,Lepidoptera,NA,Pyralidae,NA,NA,Seeds: Roots (イモ・貯穀害虫),Indomalaya,"Yamanaka, 2015"
Ephestia elutella,(Hübner),chocolate moth,Stored,チャマダラメイガ,Lepidoptera,NA,Pyralidae,NA,NA,Seeds,Palearctic(Europe),"Yamanaka, 2015"
Ephestia kuehniella,Zeller,Mediterranean flour moth :  Mediterranean flour moth,Stored,スジコナマダラメイガ,Lepidoptera,NA,Pyralidae,1923,NA,Seeds,Neotropic,"Yamanaka, 2015"
Margaritia sticticalis,Buhl,NA,Outdoor:Greenhouse:Tree,ヘリキスジノメイガ,Lepidoptera,NA,Pyralidae,2008,NA,Leaf,Palearctic(Asia)  Palearctic(Europe)  Nearctic,"Yamanaka, 2015"
Paralipsa gularis,(Zeller),stored nut moth,Stored,ツヅリガ,Lepidoptera,NA,Pyralidae,NA,NA,Seeds,Indomalaya,"Yamanaka, 2015"
Parapediasia teterrella,(Linnaeus),syn (Parapediasia teterella),Greenhouse,シバツトガ,Lepidoptera,NA,Pyralidae,1968,NA,Leaf (芝),Nearctic Neotropic,"Yamanaka, 2015"
Plodia interpunctella,(Hübner),Indian meal moth :  Indian meal moth,Outdoor:Stored,ノシメマダラメイガ,Lepidoptera,NA,Pyralidae,1917,NA,Seeds,Neotropic,"Yamanaka, 2015"
Pyralis farinalis,(Linnaeus),NA,Stored,カシノシマメイガ,Lepidoptera,NA,Pyralidae,1910,NA,Seeds,Cosmopolitan,"Yamanaka, 2015"
Scirpophaga incertulas,(Walker),NA,Outdoor,イッテンオオメイガ(サンカメイガ),Lepidoptera,NA,Pyralidae,1877,NA,Leaf,Indomalaya,"Yamanaka, 2015"
Sinibotys butleri,(South),syn (Sinibotys butler),Tree,キモンホソバノメイガ,Lepidoptera,NA,Pyralidae,2007,NA,Leaf (竹),Palearctic(Asia),"Yamanaka, 2015"
Synanthedon tipuliforme,(Clerck),Currant Borer Moth: syn (Synanthedon tipuliformis),Outdoor,スグリコスカシバ,Lepidoptera,NA,Sesiidae,2005,NA,Leaf,Palearctic(Europe),"Yamanaka, 2015"
Acherontia lachesis,NA,NA,Outdoor:Greenhouse,クロメンガタスズメ,Lepidoptera,NA,Sphingidae,1985,NA,Leaf,Paleartic(Asia),"Yamanaka, 2015"
Nemapogon granella,(Linnaeus),European grain moth:corn moth:mottled grain moth,Outdoor:Stored,コクガ,Lepidoptera,NA,Tineidae,NA,NA,Seeds,Palearctic(Asia),"Yamanaka, 2015"
Opogona sacchari,(Bojer),Banana Moth,Outdoor,クロテンオオメンコガ,Lepidoptera,NA,Tineidae,1986,NA,Leaf: Fruits (サツマイモからパッションフルーツまで広食),Afrotropic,"Yamanaka, 2015"
Tinea translucens,(YangAnd Li),NA,Stored,イガ,Lepidoptera,NA,Tineidae,1889,NA,DryA,Indomalaya,"Yamanaka, 2015"
Tineola bisselliella,(Hummel),Webbing Clothes Moth: Carpet Moth,Stored,コイガ,Lepidoptera,NA,Tineidae,NA,NA,DryA,Palearctic(Europe),"Yamanaka, 2015"
Trichophaga tapetzella,(Linnaeus),NA,Stored,ジュウタンガ,Lepidoptera,NA,Tineidae,NA,NA,DryA,Palearctic(Europe),"Yamanaka, 2015"
Grapholita dimorpha,NA,NA,Outdoor:Tree,スモモヒメシンクイ,Lepidoptera,NA,Tortricidae,NA,NA,Fruits,Palearctic(Asia),"Yamanaka, 2015"
Grapholita molesta,NA,NA,Outdoor:Tree,ナシヒメシンクイ,Lepidoptera,NA,Tortricidae,1868,NA,Fruits,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Spilonota lechriaspis,NA,NA,Outdoor:Tree,リンゴハイイロヒメハマキ,Lepidoptera,NA,Tortricidae,1941,NA,Leaf: Fruits,Palearctic(Asia),"Yamanaka, 2015"
Plutella xylostella,NA,NA,Outdoor:Greenhouse,コナガ,Lepidoptera,NA,Yponmeutidae,NA,NA,Leaf,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Damalinia bovis,NA,NA,Sanit,ウシハジラミ,Mallophage,NA,Linognathidae,NA,NA,Animal,Cosmopolitan,"Yamanaka, 2015"
Solenopotes capillatus,NA,NA,Sanit,ケブカウシジラミ,Mallophage,NA,Linognathidae,1944,NA,Animal,Cosmopolitan,"Yamanaka, 2015"
Hierodula venosa,NA,NA,Not pest (Predator),ムネアカハラビロカマキリ,Mantodea,NA,Mantidae,2005,NA,Insect,Palearctic(Asia),"Yamanaka, 2015"
Tenodera angustipennis,NA,NA,Not pest (Predator),チョウセンカマキリ,Mantodea,NA,Mantidae,NA,NA,Insect,Palearctic (Asia),"Yamanaka, 2015"
Truljalia hibinonis,NA,NA,Outdoor:Tree,アオマツムシ,Orthoptera,NA,Eneopteridae,1898,NA,Seeds: Leaf,Palearctic(Asia),"Yamanaka, 2015"
Acheta domestica,(Linnaeus),House Cricket,Not pest,イエコオロギ,Orthoptera,NA,Gryllidae,NA,NA,Seeds: Leaf,Palearctic(Europe),"Yamanaka, 2015"
Gryllodes supplicans,(F. Walker),syn (Gryllodes sigillatus): European mole cricket,Not pest,カマドコオロギ,Orthoptera,NA,Gryllidae,1717,NA,Seeds: Leaf,Indomalaya,"Yamanaka, 2015"
Metiochodes genji,Furukawa,NA,Not pest,ウスグモスズ,Orthoptera,NA,Gryllidae,1966,NA,Seeds: Leaf,Palearctic(Asia),"Yamanaka, 2015"
Teleogryllus commodus,NA,NA,Outdoor:Greenhouse,コモダスエンマコオロギ,Orthoptera,NA,Gryllidae,1998,NA,Seeds: Leaf,Australasia,"Yamanaka, 2015"
Tachycines asynamorus,(Fabricius),syn (Diestrammena asynamora),Not pest,クラズミウマ,Orthoptera,NA,Rhaphidophoridae,1820,NA,Seeds: DryA,Palearctic(Asia),"Yamanaka, 2015"
Homoeoxipha lycoides,(Walker),NA,Not pest,フタイロヒバリ,Orthoptera,NA,Trigonidiidae,NA,NA,Seeds: Leaf,Indomalaya,"Yamanaka, 2015"
Atractomorpha sinensis,NA,NA,Not pest,アカハネオンブバッタ,Orthoptera,NA,NA,2008,NA,Seeds: Leaf,Paleartic(Asia),"Yamanaka, 2015"
Gryllus　bimaculatus,De Geer,NA,Not pest,フタホシコオロギ,Orthoptera,NA,NA,NA,NA,NA,Indomalaya,"Yamanaka, 2015"
Pediculus humanus,De Geer,NA,Sanit,ヒトジラミ,Phthiraptera,NA,Pediculidae,NA,NA,Animal,Cosmopolitan,"Yamanaka, 2015"
Phthirus pubis,(Linnaeus),NA,Sanit,ケジラミ,Phthiraptera,NA,Pthiridae,NA,NA,Animal,Palearctic(Asia),"Yamanaka, 2015"
Liposcelis bostrychophila,(Wallaston),NA,Stored,ヒラタチャタテ,Psocoptera,NA,Liposcelidae,NA,NA,Seeds: DryA,NA,"Yamanaka, 2015"
Liposcelis corrodens,(Heymons),NA,Stored,ウスグロチャタテ,Psocoptera,NA,Liposcelidae,NA,NA,Seeds: DryA,NA,"Yamanaka, 2015"
Liposcelis decolor,(Pearman),syn(Liposcelis simulans),Stored,ホンチャタテ（チャタテの一種名鑑）,Psocoptera,NA,Liposcelidae,NA,NA,Seeds: DryA,Cosmopolitan,"Yamanaka, 2015"
Liposcelis entomophila,(Enderlein),NA,Stored,カツブシチャタテ,Psocoptera,NA,Liposcelidae,NA,NA,Seeds: DryA,NA,"Yamanaka, 2015"
Liposcelis permani,NA,NA,Stored,ソーメンチャタテ（ソウメンチャタテ名鑑）,Psocoptera,NA,Liposcelidae,NA,NA,Seeds: DryA,Palearctic(Asia)  Palearctic(Europe)  Nearctic,"Yamanaka, 2015"
Tapinella africana,NA,NA,Stored,トガリチャタテ,Psocoptera,NA,Pachytroctidae,NA,NA,Seeds: DryA,Afrotropic,"Yamanaka, 2015"
Lepinotus reticulatus,Enderlein,reticulate-winged booklouse,Stored,ツヤコチャタテ,Psocoptera,NA,Trogiidae,NA,NA,Seeds: DryA,Palearctic(Europe),"Yamanaka, 2015"
Trogium pulsatorium,(Linnaeus),Booklice,Stored,コチャタテ,Psocoptera,NA,Trogiidae,NA,NA,Seeds: DryA,NA,"Yamanaka, 2015"
Nosopsyllus fasciatus,NA,NA,Sanit,ヨーロッパネズミノミ,Siphonaptera,NA,Ceratophyllidae,NA,NA,Animal,Cosmopolitan,"Yamanaka, 2015"
Ctenocephalides canis,(Curtis),NA,Sanit,イヌノミ,Siphonaptera,NA,Pulicidae,NA,NA,Animal,Palearctic(Europe),"Yamanaka, 2015"
Ctenocephalides felis,(Bouche),Cat flea,Sanit,ネコノミ,Siphonaptera,NA,Pulicidae,NA,NA,Animal,Cosmopolitan,"Yamanaka, 2015"
Echidnophaga gallinacea,(Westwood),Sticktight flea :  sticktight flea,Sanit,ニワトリフトノミ,Siphonaptera,NA,Pulicidae,NA,NA,Animal,Indomalaya,"Yamanaka, 2015"
Pulex irritans,(Linnaeus),Human flea :  human flea,Sanit,ヒトノミ,Siphonaptera,NA,Pulicidae,NA,NA,Animal,Cosmopolitan,"Yamanaka, 2015"
Xenopsylla cheopis,(Rothschild),Indian rat flea,Sanit,ケオプスネズミノミ,Siphonaptera,NA,Pulicidae,NA,NA,Animal,Afrotropic,"Yamanaka, 2015"
Tunga caecigena,Jordan et Rothschild,NA,Sanit,ネズミスナノミ,Siphonaptera,NA,Tungidae,1949,NA,Animal,Palearctic(Asia),"Yamanaka, 2015"
Halictophagus bipunctatus,NA,NA,Not pest (Predator),フタテンクシヒゲネジレバネ,Strepsiptera,NA,Halictophagidae,NA,NA,Insect,Palearctic(Asia),"Yamanaka, 2015"
Xenos moutoni,LeConte,NA,Not pest (Predator),スズメバチネジレバネ,Strepsiptera,NA,Halictophagidae,NA,NA,Insect,Palearctic(Asia),"Yamanaka, 2015"
Merothrips floridensis,Watson,NA,Not pest (Predator),フロリダメロアザミウマ,Thysanoptera,NA,Merothripidae,1975,NA,Fungus,Neotropic,"Yamanaka, 2015"
Merothrips laevis,(Linaeus),NA,Not pest (Predator),スベスベメロアザミウマ,Thysanoptera,NA,Merothripidae,1971,NA,Fungus,Neotropic,"Yamanaka, 2015"
Ponticulothrips diospyrosi,NA,NA,Outdoor,カキクダアザミウマ,Thysanoptera,NA,Phlaeothripidae,1975,NA,Leaf: Fruits (カキ),NA,"Yamanaka, 2015"
Scopaeothrips unicolor,NA,NA,Greenhouse,サボテンアザミウマ,Thysanoptera,NA,Phlaeothripidae,NA,NA,Leaf (サボテン),NA,"Yamanaka, 2015"
Ayyaria chaetophora,NA,NA,Outdoor,ワタノオビアザミウマ,Thysanoptera,NA,Thripidae,NA,NA,Leaf (綿・ダイズ),Indomalaya,"Yamanaka, 2015"
Dichromothrips　smithi,(Zimmermann),NA,Greenhouse,ランノハナアザミウマ,Thysanoptera,NA,Thripidae,NA,NA,NA,Indomalaya,"Yamanaka, 2015"
Dorcadothrips xanthius,(Williams),NA,Greenhouse,カトレヤアザミウマ,Thysanoptera,NA,Thripidae,1936,NA,Leaf,Neotropic,"Yamanaka, 2015"
Echinothrips americanus,Morgan,NA,Outdoor,モトジロアザミウマ,Thysanoptera,NA,Thripidae,2002,NA,Leaf (ミョウガ),Nearctic,"Yamanaka, 2015"
Frankliniella occidentalis,(Pergande),Western flower thrips :  Western flower thrips,Outdoor:Greenhouse,ミカンキイロアザミウマ,Thysanoptera,NA,Thripidae,1990,NA,Leaf: Fruits (果物・野菜全般),Nearctic,"Yamanaka, 2015"
Heliothrips haemorrhoidalis,(Bouché),greenhouse thrips:glasshouse thrips,Outdoor:Greenhouse:Tree,クロトンアザミウマ,Thysanoptera,NA,Thripidae,1926,NA,Leaf: Fruits (果物・野菜全般),Neotropic,"Yamanaka, 2015"
Hercinothrips femoralis,(Reuter),birch leafmining sawfly,Greenhouse,クリバネアザミウマ,Thysanoptera,NA,Thripidae,1917,NA,Leaf: Fruits (ピーマン・シシトウ),Afrotropic,"Yamanaka, 2015"
Hydatothrips samayunkur,Kudo,NA,Greenhouse,トラフアザミウマ,Thysanoptera,NA,Thripidae,1994,NA,Leaf (マリーゴールド),Neotropic,"Yamanaka, 2015"
Megalurothrips distalis,NA,NA,Outdoor:Greenhouse:Tree,マメハナアザミウマ,Thysanoptera,NA,Thripidae,NA,NA,Leaf (マメ科の花？),Palearctic(Asia)  Indomalaya,"Yamanaka, 2015"
Microcephalothrips abdominalis,(Crawford),composite thrips,Greenhouse,コスモスアザミウマ,Thysanoptera,NA,Thripidae,NA,NA,Leaf (コスモス・マリーゴールド),Neotropic,"Yamanaka, 2015"
Scirtothrips dorsalis,Hood,yellow tea thrips,Outdoor:Greenhouse:Tree,チャノキイロアザミウマ,Thysanoptera,NA,Thripidae,2008,NA,Leaf (チャ、花卉も加害するらしい),Indomalaya,"Yamanaka, 2015"
Selenothrips rubrocinctus,NA,NA,Outdoor:Greenhouse,アカオビアザミウマ,Thysanoptera,NA,Thripidae,1938,NA,Leaf: Fruits (果物・野菜・樹木),Indomalaya,"Yamanaka, 2015"
Taeniothrips inconsequens,Uzel,rice delphacid,Outdoor:Tree,ナシアザミウマ,Thysanoptera,NA,Thripidae,1936,NA,Leaf (バラ科・カエデ科、森林害虫),Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Tenothrips frici,NA,NA,Unkown,Tenothrips frici和名なし,Thysanoptera,NA,Thripidae,1997,NA,Leaf (キク科花粉),Palearctic(Europe),"Yamanaka, 2015"
Thrips coloratus,NA,NA,Outdoor:Greenhouse:Tree,ビワハナアザミウマ,Thysanoptera,NA,Thripidae,NA,NA,Leaf (ビワのほか花卉類花粉),Indomalaya,"Yamanaka, 2015"
Thrips hawaiiensis,(Morgan),flower thrips,Greenhouse,ハナアザミウマ,Thysanoptera,NA,Thripidae,NA,NA,Leaf (花卉類花粉),Indomalaya,"Yamanaka, 2015"
Thrips palmi,Karny,Melon thrips :  gladiolus thrips,Outdoor:Greenhouse:Tree,ミナミキイロアザミウマ,Thysanoptera,NA,Thripidae,1978,NA,Leaf (ピーマンのほか花卉類花粉),Indomalaya,"Yamanaka, 2015"
Thrips simplex,(Morison),Gladiolus thrips :  gladiolus thrips,Greenhouse,グラジオラスアザミウマ,Thysanoptera,NA,Thripidae,1986,NA,Leaf (花卉類花粉),Afrotropic,"Yamanaka, 2015"
Thrips tabaci,Lindeman,Tobacco or Onion thrips :  onion thrips:cotton seedling thrips,Outdoor:Greenhouse,ネギアザミウマ,Thysanoptera,NA,Thripidae,1913,NA,Leaf (葱・にんにく、ピーマン),Palearctic(Asia),"Yamanaka, 2015"
Lepisma saccharina,NA,NA,Stored,セイヨウシミ,Thysanura,NA,Lepismatidae,1889,NA,DryA: Animal,Palearctic(Europe),"Yamanaka, 2015"
Thermobia domestica,NA,NA,Stored,マダラシミ,Thysanura,NA,Lepismatidae,1955,NA,DryA: Animal,NA,"Yamanaka, 2015"
Hylurgus ligniperda,NA,NA,NA,NA,Coleoptera,NA,Curculionidae,1935,NA,NA,NA,"Murayama, 1936"
Apriona swainsoni,NA,NA,NA,NA,Coleoptera,NA,Cerambycidae,2021,NA,NA,NA,Etsuko Shoda-Kagaya (personal comm. 2021)
Anoplophora glabripennis,NA,NA,NA,NA,Coleoptera,NA,Cerambycidae,2020,NA,NA,NA,"Akita, 2021"
Reesa vespulae,NA,NA,NA,NA,Coleoptera,NA,Dermestidae,2011,NA,NA,NA,"Takanobu, 2011"
Trissolcus basalis,NA,NA,NA,NA,Hymenoptera,NA,Platygastridae,2014,NA,NA,NA,"Mita, 2014"
Nezara viridula,NA,NA,NA,NA,Hemiptera,NA,Pentatomidae,1879,NA,NA,NA,"Hasegawa, 1954"
